time,val
01/01/2017,13
08/01/2017,7
15/01/2017,7
22/01/2017,8
29/01/2017,8
05/02/2017,21
12/02/2017,47
19/02/2017,34
26/02/2017,41
05/03/2017,27
12/03/2017,27
19/03/2017,62
26/03/2017,28
02/04/2017,27
09/04/2017,55
16/04/2017,54
23/04/2017,41
30/04/2017,25
07/05/2017,13
14/05/2017,15
21/05/2017,17
28/05/2017,44
04/06/2017,70
11/06/2017,44
18/06/2017,25
25/06/2017,18
02/07/2017,27
09/07/2017,9
16/07/2017,36
23/07/2017,27
30/07/2017,60
06/08/2017,26
13/08/2017,25
20/08/2017,17
27/08/2017,26
03/09/2017,9
10/09/2017,26
17/09/2017,45
24/09/2017,44
01/10/2017,9
08/10/2017,36
15/10/2017,35
22/10/2017,54
29/10/2017,26
05/11/2017,17
12/11/2017,34
19/11/2017,42
26/11/2017,43
03/12/2017,78
10/12/2017,9
17/12/2017,43
24/12/2017,67
31/12/2017,8
07/01/2018,33
14/01/2018,24
21/01/2018,8
28/01/2018,26
04/02/2018,27
11/02/2018,10
18/02/2018,26
25/02/2018,57
04/03/2018,25
11/03/2018,56
18/03/2018,16
25/03/2018,49
01/04/2018,33
08/04/2018,64
15/04/2018,24
22/04/2018,54
29/04/2018,31
06/05/2018,54
13/05/2018,41
20/05/2018,49
27/05/2018,33
03/06/2018,41
10/06/2018,14
17/06/2018,33
24/06/2018,27
01/07/2018,56
08/07/2018,14
15/07/2018,24
22/07/2018,79
29/07/2018,31
05/08/2018,15
12/08/2018,7
19/08/2018,37
26/08/2018,46
02/09/2018,16
09/09/2018,65
16/09/2018,33
23/09/2018,42
30/09/2018,9
07/10/2018,26
14/10/2018,35
21/10/2018,27
28/10/2018,27
04/11/2018,35
11/11/2018,17
18/11/2018,88
25/11/2018,25
02/12/2018,34
09/12/2018,34
16/12/2018,33
23/12/2018,41
30/12/2018,16
06/01/2019,8
13/01/2019,23
20/01/2019,39
27/01/2019,43
03/02/2019,10
10/02/2019,48
17/02/2019,54
24/02/2019,76
03/03/2019,71
10/03/2019,100
17/03/2019,31
24/03/2019,8
31/03/2019,47
07/04/2019,23
14/04/2019,53
21/04/2019,31
28/04/2019,7
05/05/2019,57
12/05/2019,83
19/05/2019,29
26/05/2019,58
02/06/2019,42
09/06/2019,76
16/06/2019,54
23/06/2019,55
30/06/2019,43
07/07/2019,51
14/07/2019,29
21/07/2019,44
28/07/2019,57
04/08/2019,72
11/08/2019,36
18/08/2019,58
25/08/2019,79
01/09/2019,29
08/09/2019,57
15/09/2019,42
22/09/2019,72
29/09/2019,66
06/10/2019,51
13/10/2019,65
20/10/2019,36
27/10/2019,43
03/11/2019,29
10/11/2019,28
17/11/2019,78
24/11/2019,48
01/12/2019,47
08/12/2019,20
15/12/2019,32
22/12/2019,48
29/12/2019,41
05/01/2020,28
12/01/2020,68
19/01/2020,8
26/01/2020,55
02/02/2020,65
09/02/2020,62
16/02/2020,72
23/02/2020,40
01/03/2020,48
08/03/2020,35
15/03/2020,57
22/03/2020,23
29/03/2020,30
05/04/2020,51
12/04/2020,65
19/04/2020,73
26/04/2020,53
03/05/2020,70
10/05/2020,72
17/05/2020,70
24/05/2020,89
31/05/2020,52
07/06/2020,83
14/06/2020,69
21/06/2020,80
28/06/2020,51
05/07/2020,57
12/07/2020,83
19/07/2020,52
26/07/2020,70
